codigo_plano;ano_plano;modalidade;situacao;beneficiario;cnpj_beneficiario;uf;banco;agencia;conta;dv_agencia;dv_conta;parlamentar;ano_emenda;numero_emenda;codigo_emenda;area_politica;programa_orcamentario;valor_custeio;valor_investimento;natureza_juridica
0903-003299;2020;Especial;CIENTE;MUNICIPIO DE DOIS IRMAOS DO TOCANTINS;02070563000181;TO;Banco do Brasil;804;51405;4;5;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;20-Agricultura / 606-Extensão Rural;Não informado;0.0;100000.0;Município
0903-003245;2020;Especial;CIENTE;MUNICIPIO DE APARECIDA DO RIO NEGRO;25086638000118;TO;Banco do Brasil;1867;69711;8;7;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;23-Comércio e Serviços / 695-Turismo;Não informado;0.0;200000.0;Município
0903-003286;2020;Especial;CIENTE;MUNICIPIO DE LAGOA DO TOCANTINS;37420916000100;TO;Banco do Brasil;1886;105720;4;0;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos;Não informado;50000.0;200000.0;Município
0903-003256;2020;Especial;CIENTE;MUNICIPIO DE LAGOA DO TOCANTINS;37420916000100;TO;Banco do Brasil;1886;105720;4;0;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos , 27-Desporto e Lazer / 812-Desporto Comunitário;Não informado;0.0;100000.0;Município
0903-003323;2020;Especial;CIENTE;MUNICIPIO DE COLMEIA;02070746000105;TO;Banco do Brasil;1306;24790;4;1;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;250000.0;Município
0903-003287;2020;Especial;CIENTE;MUNICIPIO DE FORTALEZA DO TABOCAO;37421112000126;TO;Banco do Brasil;2094;34137;X;1;Professora Dorinha Seabra Rezende;2020;202026930009;202026930009-Professora Dorinha Seabra Rezende;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;400000.0;Município
0903-003360;2020;Especial;CIENTE;MUNICIPIO DE RIO DOS BOIS;37420932000101;TO;Banco do Brasil;862;36393;1;6;Professora Dorinha Seabra Rezende;2020;202026930009;202026930009-Professora Dorinha Seabra Rezende;15-Urbanismo / 451-Infraestrutura Urbana , 27-Desporto e Lazer / 813-Lazer;Não informado;0.0;450000.0;Município
0903-003363;2020;Especial;CIENTE;MUNICIPIO DE PALMEIROPOLIS;00007401000173;TO;Banco do Brasil;4608;16079;6;2;Professora Dorinha Seabra Rezende;2020;202026930009;202026930009-Professora Dorinha Seabra Rezende;20-Agricultura / 608-Promoção da Produção Agropecuária;Não informado;0.0;100000.0;Município
0903-003386;2020;Especial;CIENTE;MUNICIPIO DE ARAGUANA;25063892000109;TO;Banco do Brasil;3773;23769;7;8;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;11-Trabalho / 333-Empregabilidade;Não informado;250000.0;0.0;Município
0903-003437;2020;Especial;CIENTE;MUNICIPIO DE PARAISO DO TOCANTINS;00299180000154;TO;Banco do Brasil;804;51406;4;3;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;10-Saúde / 301-Atenção Básica , 10-Saúde / 302-Assistência Hospitalar e Ambulatorial , 10-Saúde / 303-Suporte Profilático e Terapêutico , 10-Saúde / 304-Vigilância Sanitária , 10-Saúde / 305-Vigilância Epidemiológica;Não informado;0.0;1130000.0;Município
0903-003424;2020;Especial;CIENTE;MUNICIPIO DE CONCEICAO DO TOCANTINS;01067149000150;TO;Caixa Econômica Federal;3089;6672009;9;1;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;12-Educação / 361-Ensino Fundamental , 12-Educação / 365-Educação Infantil;Não informado;200000.0;50000.0;Município
0903-003457;2020;Especial;CIENTE;MUNICIPIO DE LAVANDEIRA;01618402000117;TO;Banco do Brasil;3977;13311;2;6;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;20-Agricultura / 608-Promoção da Produção Agropecuária;OEC2;0.0;150000.0;Município
0903-003487;2020;Especial;CIENTE;MUNICIPIO DE FATIMA;00114801000188;TO;Banco do Brasil;804;51408;4;X;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;250000.0;Não encontrado
0903-003534;2020;Especial;CIENTE;MUNICIPIO DE PALMEIRANTE;25064049000139;TO;Banco do Brasil;2064;20828;8;0;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 452-Serviços Urbanos;Não informado;90000.0;210000.0;Município
0903-003493;2020;Especial;CIENTE;MUNICIPIO DE XAMBIOA;02087211000139;TO;Banco do Brasil;3773;23771;7;X;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana , 20-Agricultura / 605-Abastecimento;Não informado;70000.0;180000.0;Município
0903-003541;2020;Especial;CIENTE;MUNICIPIO DE SANTA MARIA DO TOCANTINS;37421039000192;TO;Banco do Brasil;1595;30134;4;5;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana , 20-Agricultura / 605-Abastecimento;Não informado;110000.0;270000.0;Não encontrado
0903-003595;2020;Especial;CIENTE;MUNICIPIO DE AXIXA DO TOCANTINS;00766725000195;TO;Banco do Brasil;3975;27583;6;2;Professora Dorinha Seabra Rezende;2020;202026930009;202026930009-Professora Dorinha Seabra Rezende;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;400000.0;Município
0903-003650;2020;Especial;CIENTE;MUNICIPIO DE LAGOA DO TOCANTINS;37420916000100;TO;Banco do Brasil;1886;105720;4;0;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos;Não informado;0.0;250000.0;Município
0903-003663;2020;Especial;CIENTE;MUNICIPIO DE SAO SEBASTIAO DO TOCANTINS;00766733000131;TO;Banco do Brasil;3975;27584;6;0;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;100000.0;Município
