codigo_plano;situacao;data_inicio;data_fim;ente_recebedor;municipio;uf;cnpj_recebedor;fundo_repassador;orgao_repassador;sigla_orgao;fundo_recebedor;valor_emenda;valor_especifico;valor_voluntario;valor_total_repasse;valor_total_plano;saldo_disponivel;natureza_juridica
00905320220001-007971;AUTORIZADO;2023-01-01;2026-12-31;SECRETARIA DA SEGURANCA PUBLICA - S.S.P.;PALMAS;TO;25053109000118;FUNDO NACIONAL DE SEGURANCA PUBLICA;Secretaria Nacional de Segurança Pública;SENASP;FUNDO DE SEGURANCA PUBLICA DO ESTADO DO TOCANTINS - FUSPTO;0.0;27619176.45;0.0;27619176.45;27619176.45;3.725290298461914e-09;Órgão Público do Poder Executivo Estadual ou do Distrito Federal
00905320230003-014692;AUTORIZADO;2023-08-09;2026-12-31;SECRETARIA DA SEGURANCA PUBLICA - S.S.P.;PALMAS;TO;25053109000118;FUNDO NACIONAL DE SEGURANCA PUBLICA;Secretaria Nacional de Segurança Pública;SENASP;FUNDO DE SEGURANCA PUBLICA DO ESTADO DO TOCANTINS - FUSPTO;0.0;3533470.7;0.0;3533470.7;3533470.7;0.0;Órgão Público do Poder Executivo Estadual ou do Distrito Federal
00905320220002-008004;AUTORIZADO;2023-01-01;2026-12-31;SECRETARIA DA SEGURANCA PUBLICA - S.S.P.;PALMAS;TO;25053109000118;FUNDO NACIONAL DE SEGURANCA PUBLICA;Secretaria Nacional de Segurança Pública;SENASP;FUNDO DE SEGURANCA PUBLICA DO ESTADO DO TOCANTINS - FUSPTO;0.0;6904794.12;0.0;6904794.12;6904794.12;0.0;Órgão Público do Poder Executivo Estadual ou do Distrito Federal
00905320260003-028532;ENVIADO_ANALISE;2026-04-14;2028-12-31;SECRETARIA DA SEGURANCA PUBLICA - S.S.P.;PALMAS;TO;25053109000118;FUNDO NACIONAL DE SEGURANCA PUBLICA;Secretaria Nacional de Segurança Pública;SENASP;FUNDO DE SEGURANCA PUBLICA DO ESTADO DO TOCANTINS - FUSPTO;0.0;3792980.21;0.0;3792980.21;3792980.21;0.0;Órgão Público do Poder Executivo Estadual ou do Distrito Federal
00905320200001-005936;AUTORIZADO;2020-12-17;2026-12-31;SECRETARIA DA SEGURANCA PUBLICA - S.S.P.;PALMAS;TO;25053109000118;FUNDO NACIONAL DE SEGURANCA PUBLICA;Secretaria Nacional de Segurança Pública;SENASP;FUNDO DE SEGURANCA PUBLICA DO ESTADO DO TOCANTINS - FUSPTO;0.0;0.0;0.0;0.0;12952440.0;0.0;Órgão Público do Poder Executivo Estadual ou do Distrito Federal
00905320200002-005934;AUTORIZADO;2020-12-17;2026-12-31;SECRETARIA DA SEGURANCA PUBLICA - S.S.P.;PALMAS;TO;25053109000118;FUNDO NACIONAL DE SEGURANCA PUBLICA;Secretaria Nacional de Segurança Pública;SENASP;FUNDO DE SEGURANCA PUBLICA DO ESTADO DO TOCANTINS - FUSPTO;0.0;0.0;0.0;0.0;3222054.0;0.0;Órgão Público do Poder Executivo Estadual ou do Distrito Federal
00905320260002-028530;ENVIADO_ANALISE;2026-04-14;2028-12-31;SECRETARIA DA SEGURANCA PUBLICA - S.S.P.;PALMAS;TO;25053109000118;FUNDO NACIONAL DE SEGURANCA PUBLICA;Secretaria Nacional de Segurança Pública;SENASP;FUNDO DE SEGURANCA PUBLICA DO ESTADO DO TOCANTINS - FUSPTO;0.0;3792980.18;0.0;3792980.18;3792980.18;4.656612873077393e-10;Órgão Público do Poder Executivo Estadual ou do Distrito Federal
00905320240004-021504;AUTORIZADO;2025-01-01;2026-12-31;SECRETARIA DA SEGURANCA PUBLICA - S.S.P.;PALMAS;TO;25053109000118;FUNDO NACIONAL DE SEGURANCA PUBLICA;Secretaria Nacional de Segurança Pública;SENASP;FUNDO DE SEGURANCA PUBLICA DO ESTADO DO TOCANTINS - FUSPTO;0.0;4114310.82;0.0;4114310.82;4114310.82;0.0;Órgão Público do Poder Executivo Estadual ou do Distrito Federal
00905320210001-006996;AUTORIZADO;2022-01-01;2026-12-31;SECRETARIA DA SEGURANCA PUBLICA - S.S.P.;PALMAS;TO;25053109000118;FUNDO NACIONAL DE SEGURANCA PUBLICA;Secretaria Nacional de Segurança Pública;SENASP;FUNDO DE SEGURANCA PUBLICA DO ESTADO DO TOCANTINS - FUSPTO;0.0;21904710.73;0.0;21904710.73;21904710.73;0.0;Órgão Público do Poder Executivo Estadual ou do Distrito Federal
00905320250003-021744;AUTORIZADO;2025-04-25;2027-12-31;SECRETARIA DA SEGURANCA PUBLICA - S.S.P.;PALMAS;TO;25053109000118;FUNDO NACIONAL DE SEGURANCA PUBLICA;Secretaria Nacional de Segurança Pública;SENASP;FUNDO DE SEGURANCA PUBLICA DO ESTADO DO TOCANTINS - FUSPTO;0.0;4237380.47;0.0;4237380.47;4237380.47;0.0;Órgão Público do Poder Executivo Estadual ou do Distrito Federal
