id_proposta;uf_proponente;municipio_beneficiario;orgao_superior;natureza_juridica;nr_proposta;ano_proposta;orgao_concedente;modalidade;proponente;nr_convenio;dt_assinatura;situacao;subsituacao;dt_inicio_vigencia;dt_fim_vigencia;valor_global;valor_repasse;valor_contrapartida;valor_empenhado;valor_desembolsado;valor_saldo_tesouro;vl_saldo_reman_convenente;vl_rendimento_aplicacao;vl_ingresso_contrapartida;valor_saldo_conta;ano_assinatura;nr_emenda;parlamentar;tipo_parlamentar;valor_emenda;valor_pago
1351644;TO;PALMAS;MINISTÉRIO DA AGRICULTURA E PECUÁRIA;Administração Pública Estadual ou do Distrito Federal;45632/2018;2018;MINISTÉRIO DA AGRICULTURA E PECUÁRIA;CONVENIO;SECRETARIA DA AGRICULTURA E PECUARIA;870855;10/09/2018;Prestação de Contas Concluída;;10/09/2018;01/03/2023;132897.0;125000.0;7897.0;125000.0;125000.0;62218.71;3930.74;0.0;7897.0;0.0;2018;;;;0.0;83923.78
290741;TO;RIO SONO;MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR;Organização da Sociedade Civil;45860/2010;2010;MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR;CONTRATO DE REPASSE;SINDICATO DOS TRABALHADORES RURAIS DE RIO SONO;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
756702;TO;BURITI DO TOCANTINS;MINISTERIO DA SAUDE;Administração Pública Municipal;58293/2013;2013;FUNDACAO NACIONAL DE SAUDE;CONVENIO;MUNICIPIO DE BURITI DO TOCANTINS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
307087;TO;PALMAS;MINISTERIO DO ESPORTE;Administração Pública Estadual ou do Distrito Federal;61011/2010;2010;MINISTERIO DO ESPORTE;CONVENIO;SECRETARIA DO TRABALHO E DESENVOLVIMENTO SOCIAL;742427;;Cancelado;;30/06/2010;30/08/2011;393367.5;299967.5;93400.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;0.0;0.0
1318507;TO;MURICILÂNDIA;MINISTERIO DO TURISMO;Administração Pública Municipal;21524/2018;2018;MINISTERIO DO TURISMO;CONTRATO DE REPASSE;MUNICIPIO DE MURICILANDIA;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
1304483;TO;CHAPADA DA NATIVIDADE;MINISTERIO DO TURISMO;Administração Pública Municipal;9265/2018;2018;MINISTERIO DO TURISMO;CONVENIO;MUNICIPIO DE CHAPADA DA NATIVIDADE;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
1193068;TO;PALMAS;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;Administração Pública Municipal;43251/2017;2017;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;CONTRATO DE REPASSE;MUNICIPIO DE PALMAS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
1250714;TO;LIZARDA;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;Administração Pública Municipal;82729/2017;2017;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;CONVENIO;MUNICIPIO DE LIZARDA;850326;;Proposta/Plano de Trabalho Aprovado;;18/01/2018;12/07/2019;355000.0;350000.0;5000.0;350000.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;0.0;0.0
2120781;TO;PAU D'ARCO;MINISTERIO DO ESPORTE;Administração Pública Municipal;46196/2025;2025;MINISTERIO DO ESPORTE;CONTRATO DE REPASSE;MUNICIPIO DE PAU D'ARCO;981618;17/10/2025;Em execução;;17/10/2025;16/10/2028;1008933.59;960757.7;48175.89;960757.7;0.0;0.0;0.0;0.0;0.0;0.0;2025;50060002.0;COM. ESPORTE;COMISSAO;960757.7;0.0
1801089;TO;LUZINÓPOLIS;MINISTERIO DAS CIDADES;Administração Pública Municipal;23905/2022;2022;MINISTERIO DAS CIDADES;CONTRATO DE REPASSE;MUNICIPIO DE LUZINOPOLIS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
901928;TO;PONTE ALTA DO BOM JESUS;MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR;Administração Pública Municipal;47675/2014;2014;MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR;CONVENIO;MUNICIPIO DE PONTE ALTA DO BOM JESUS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
1528339;TO;LAJEADO;MINISTERIO DO TURISMO;Administração Pública Municipal;25/2020;2020;MINISTERIO DO TURISMO;CONTRATO DE REPASSE;MUNICIPIO DE LAJEADO;898006;28/05/2020;Prestação de Contas Concluída;;28/05/2020;30/06/2023;497500.0;477500.0;20000.0;477500.0;477500.0;213356.72;8577.16;0.0;28577.15;0.0;2020;;;;0.0;315636.19
1308822;TO;PALMEIRÓPOLIS;MINISTERIO DO TURISMO;Administração Pública Municipal;12788/2018;2018;MINISTERIO DO TURISMO;CONTRATO DE REPASSE;MUNICIPIO DE PALMEIROPOLIS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
1433181;TO;PIRAQUÊ;MINISTÉRIO DA AGRICULTURA E PECUÁRIA;Administração Pública Municipal;8222/2019;2019;MINISTÉRIO DA AGRICULTURA E PECUÁRIA;CONVENIO;MUNICIPIO DE PIRAQUE;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
487580;TO;PALMAS;MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO;Administração Pública Estadual ou do Distrito Federal;51179/2011;2011;MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO;CONVENIO;SECRETARIA DO ESPORTE, LAZER E JUVENTUDE;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
1946485;TO;PALMAS;MINISTERIO DA EDUCACAO;Organização da Sociedade Civil;70038/2023;2023;FUNDACAO UNIVERSIDADE FEDERAL DO TOCANTINS;CONVENIO;FUNDACAO DE APOIO CIENTIFICO E TECNOLOGICO DO TOCANTINS;952981;18/03/2024;Prestação de Contas enviada para Análise;;18/03/2024;30/04/2026;1611703.14;1541203.14;0.0;1541203.14;1541203.14;119229.12;0.0;70500.0;2137.93;0.0;2024;;;;0.0;1443816.8399999996
437419;TO;TOCANTÍNIA;MINISTÉRIO DA AGRICULTURA E PECUÁRIA;Administração Pública Municipal;18491/2011;2011;MINISTÉRIO DA AGRICULTURA E PECUÁRIA;CONTRATO DE REPASSE;MUNICIPIO DE TOCANTINIA;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
751879;TO;ALVORADA;MINISTÉRIO DA AGRICULTURA E PECUÁRIA;Administração Pública Municipal;55247/2013;2013;MINISTÉRIO DA AGRICULTURA E PECUÁRIA;CONTRATO DE REPASSE;MUNICIPIO DE ALVORADA;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
305135;TO;SAMPAIO;MINISTERIO DO ESPORTE;Administração Pública Municipal;59221/2010;2010;MINISTERIO DO ESPORTE;CONTRATO DE REPASSE;MUNICIPIO DE SAMPAIO;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
565353;TO;PALMAS;MINISTERIO DO TURISMO;Administração Pública Estadual ou do Distrito Federal;5718/2012;2012;MINISTERIO DO TURISMO;CONTRATO DE REPASSE;SECRETARIA DA INDUSTRIA, COMERCIO E SERVICOS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
1971063;TO;PALMAS;MINISTERIO DA CULTURA;Organização da Sociedade Civil;6654/2024;2024;MINISTERIO DA CULTURA;TERMO DE FOMENTO;ASSOCIACAO AMIGOS DO MUSEU PALACINHO (INSTITUTO PALACINHO);;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
519481;TO;PONTE ALTA DO BOM JESUS;MINISTERIO DO ESPORTE;Administração Pública Municipal;70238/2011;2011;MINISTERIO DO ESPORTE;CONTRATO DE REPASSE;MUNICIPIO DE PONTE ALTA DO BOM JESUS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
782171;TO;DOIS IRMÃOS DO TOCANTINS;MINISTERIO DO TURISMO;Administração Pública Municipal;75803/2013;2013;MINISTERIO DO TURISMO;CONVENIO;MUNICIPIO DE DOIS IRMAOS DO TOCANTINS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
988558;TO;GUARAÍ;MINISTERIO DAS CIDADES;Administração Pública Municipal;27923/2015;2015;MINISTERIO DAS CIDADES;CONTRATO DE REPASSE;MUNICIPIO DE GUARAI;820088;10/12/2015;Prestação de Contas Concluída;;10/12/2015;31/08/2019;250767.0;245850.0;4917.0;245850.0;245850.0;52247.22;1044.94;0.0;4917.0;0.0;2015;29310011.0;ATAIDES OLIVEIRA;INDIVIDUAL;245850.0;201902.12
518366;TO;PALMAS;MINISTERIO DO TURISMO;Administração Pública Estadual ou do Distrito Federal;69534/2011;2011;MINISTERIO DO TURISMO;CONTRATO DE REPASSE;SECRETARIA DA INDUSTRIA, COMERCIO E SERVICOS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
679520;TO;CASEARA;MINISTERIO DO TURISMO;Administração Pública Municipal;7237/2013;2013;MINISTERIO DO TURISMO;CONTRATO DE REPASSE;MUNICIPIO DE CASEARA;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
1586708;TO;LIZARDA;MINISTERIO DA DEFESA;Administração Pública Municipal;16316/2020;2020;MINISTERIO DA DEFESA;CONVENIO;MUNICIPIO DE LIZARDA;903632;11/12/2020;Prestação de Contas Concluída;;11/12/2020;30/05/2023;754400.0;726686.0;27714.0;726686.0;726686.0;69270.46;2641.81;0.0;27714.0;0.0;2020;81001515.0;RELATOR GERAL;RELATOR GERAL;726686.0;745400.0
1665732;TO;BURITI DO TOCANTINS;MINISTERIO DAS CIDADES;Administração Pública Municipal;25444/2021;2021;MINISTERIO DAS CIDADES;CONTRATO DE REPASSE;MUNICIPIO DE BURITI DO TOCANTINS;910772;12/08/2021;Prestação de Contas Concluída;;12/08/2021;31/08/2024;483000.0;481104.0;1896.0;481104.0;480846.89;25855.02;0.0;0.0;1896.0;0.0;2021;;;;0.0;478880.95
1306222;TO;SÃO MIGUEL DO TOCANTINS;MINISTÉRIO DA AGRICULTURA E PECUÁRIA;Administração Pública Municipal;10616/2018;2018;MINISTÉRIO DA AGRICULTURA E PECUÁRIA;CONTRATO DE REPASSE;MUNICIPIO DE SAO MIGUEL DO TOCANTINS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
1144930;TO;WANDERLÂNDIA;MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR;Administração Pública Municipal;3824/2017;2017;INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA;CONVENIO;MUNICIPIO DE WANDERLANDIA;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
